Epoch	Train	Validation
epoch: 77, step: 77, time: 0.2, train: 18.602, valid: 16.751, train_acc: 0.114, valid_acc: 0.132
epoch: 78, step: 78, time: 0.1, train: 16.904, valid: 16.684, train_acc: 0.125, valid_acc: 0.131
epoch: 79, step: 79, time: 0.2, train: 19.584, valid: 16.640, train_acc: 0.089, valid_acc: 0.137
epoch: 80, step: 80, time: 0.1, train: 20.799, valid: 16.590, train_acc: 0.055, valid_acc: 0.133
epoch: 81, step: 81, time: 0.2, train: 18.252, valid: 16.568, train_acc: 0.094, valid_acc: 0.138
epoch: 82, step: 82, time: 0.1, train: 16.778, valid: 16.483, train_acc: 0.111, valid_acc: 0.136
epoch: 83, step: 83, time: 0.2, train: 20.243, valid: 16.414, train_acc: 0.096, valid_acc: 0.142
epoch: 84, step: 84, time: 0.1, train: 16.348, valid: 16.370, train_acc: 0.146, valid_acc: 0.139
epoch: 85, step: 85, time: 0.3, train: 16.440, valid: 16.015, train_acc: 0.143, valid_acc: 0.148
epoch: 86, step: 86, time: 0.2, train: 19.517, valid: 16.016, train_acc: 0.107, valid_acc: 0.147
